label,label_num,clean_message
ham,0,go jurong point crazy available only bugis great world la buffet cine got amore wat
ham,0,ok lar joking wif oni
spam,1,free entry wkly comp win fa cup final tkts st text fa receive entry question std txt rate apply over
ham,0,dun say early hor already say
ham,0,nah don think goes usf lives around though
spam,1,freemsg hey darling week now word back like fun still tb ok xxx std chgs send rcv
ham,0,even brother like speak treat like aids patent
ham,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
spam,1,winner valued network customer selected receivea prize reward claim call claim code kl valid hours only
spam,1,mobile months entitled update latest colour mobiles camera free call mobile update co free
ham,0,gonna home soon don want talk stuff anymore tonight cried enough today
spam,1,six chances win cash pounds txt csh send cost day days tsandcs apply reply hl info
spam,1,urgent won week free membership prize jackpot txt word claim www dbuk net lccltd pobox ldnw rw
ham,0,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,0,date sunday
spam,1,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com qjkgighjjgcbl
ham,0,oh watching
ham,0,eh remember spell his name yes naughty make wet
ham,0,fine if way feel way gota
spam,1,england macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox wq
ham,0,seriously spell his name
ham,0,going try months ha ha only joking
ham,0,pay first lar da stock comin
ham,0,aft finish lunch go str lor ard smth lor finish ur lunch already
ham,0,ffffffffff alright way meet sooner
ham,0,forced myself eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
ham,0,lol always convincing
ham,0,catch bus frying egg make tea eating mom left over dinner feel love
ham,0,back amp packing car now let know if room
ham,0,ahhh work vaguely remember feel like lol
ham,0,wait still clear sure sarcastic doesn want live us
ham,0,yeah got apologetic fallen actin like spoilt child got caught till won go doing badly cheers
ham,0,tell anything
ham,0,fear fainting housework quick cuppa
spam,1,thanks subscription ringtone uk mobile charged month please confirm replying yes if reply charged
ham,0,yup ok go home look timings msg again xuhui going learn nd her lesson am
ham,0,oops let know roommate done
ham,0,see letter car
ham,0,anything lor decide
ham,0,hello saturday go texting see if decided anything tomo trying invite myself anything
ham,0,pls go ahead watts wanted sure great weekend abiola
ham,0,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,1,rodger burns msg tried call reply sms free nokia mobile free camcorder please call now delivery tomorrow
ham,0,seeing
ham,0,great hope like man well endowed am lt gt inches
ham,0,calls messages missed calls
ham,0,didn get hep immunisation nigeria
ham,0,fair enough anything going
ham,0,yeah hopefully if tyler maybe ask around bit
ham,0,don know stubborn am didn even want go hospital kept telling mark weak sucker hospitals weak suckers
ham,0,thinked first time saw class
ham,0,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
ham,0,fyi ride early tomorrow morning crashing place tonight
ham,0,wow never realized embarassed accomodations thought liked since doing best always seemed happy cave sorry didn don give sorry offered sorry room embarassing
spam,1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,0,know mallika sherawat yesterday find now lt url gt
spam,1,congrats year special cinema pass yours call now suprman matrix starwars etc free bx ip pm dont miss
ham,0,sorry call later meeting
ham,0,tell reached
ham,0,yes gauti sehwag odi series
ham,0,gonna pick burger yourself way home even move pain killing
ham,0,ha ha ha good joke girls situation seekers
ham,0,part checking iq
ham,0,sorry roommates took forever ok if come now
ham,0,ok lar double check wif da hair dresser already said wun cut short said cut look nice
spam,1,valued customer am pleased advise following recent review mob awarded bonus prize call
ham,0,today song dedicated day song dedicate send ur valuable frnds first rply
spam,1,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
spam,1,hear new divorce barbie comes ken stuff
ham,0,plane give month end
ham,0,wah lucky man save money hee
ham,0,finished class
ham,0,hi babe im home now wanna something xx
ham,0,performed
ham,0,call now
ham,0,am waiting machan call free
ham,0,thats cool am gentleman treat dignity respect
ham,0,like peoples much am shy pa
ham,0,operate lt gt
ham,0,same still looking job much ta earn
ham,0,sorry call later
ham,0,call now ah
ham,0,ok am way home hi hi
ham,0,place man
ham,0,yup next stop
ham,0,call later don network if urgnt sms
ham,0,real getting yo only need tickets one jacket done already used multis
ham,0,yes started send requests make pain came back back bed double coins factory gotta cash nitros
ham,0,really still tonight babe
ham,0,ela kano il download come wen ur free
ham,0,yeah don stand close tho catch something
ham,0,sorry pain ok if meet another night spent late afternoon casualty means haven done stuff moro includes time sheets sorry
ham,0,smile pleasure smile pain smile trouble pours like rain smile sum hurts smile becoz someone still loves see smiling
